year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1997,UKR,42.7,48.53,33.96,59.77,27.36,40.6
1997,USA,100.0,100.0,100.0,100.0,100.0,100.0
1997,VNM,41.28,43.63,37.76,56.91,31.08,40.59
1997,ZAF,58.31,62.71,51.7,68.87,45.31,56.94
1998,ARG,56.41,55.75,57.4,64.24,51.37,56.57
1998,AUS,67.57,69.01,65.41,73.35,60.09,67.19
1998,AUT,66.58,67.79,64.77,72.46,59.38,66.26
1998,BEL,72.63,76.79,66.38,79.29,61.16,71.4
1998,BGD,29.77,26.36,34.89,47.88,28.26,30.33
1998,BGR,31.96,35.18,27.13,52.3,20.9,30.89
1998,BLR,37.0,41.1,30.85,55.49,24.38,35.61
1998,BRA,65.16,65.92,64.01,71.12,58.55,64.96
1998,BRN,25.74,27.35,23.33,48.36,17.44,25.26
1998,CAN,80.88,83.55,76.88,84.83,72.94,80.15
1998,CHE,70.39,72.62,67.05,76.05,61.9,69.78
1998,CHL,52.95,55.03,49.82,63.78,43.34,52.36
1998,CHN,72.91,78.08,65.16,80.32,59.81,71.33
1998,CIV,29.73,33.87,23.53,51.62,17.62,28.23
1998,CMR,25.57,29.32,19.95,49.32,14.45,24.19
1998,COL,49.99,48.85,51.69,59.96,45.3,50.25
1998,CRI,32.77,33.29,31.98,51.32,25.46,32.63
1998,CYP,29.95,31.88,27.06,50.6,20.83,29.37
1998,CZE,51.74,54.58,47.49,63.5,40.92,50.91
1998,DEU,91.41,92.99,89.03,93.23,86.98,90.99
1998,DNK,60.88,63.43,57.05,69.37,50.99,60.16
1998,EGY,48.35,47.22,50.05,58.99,43.58,48.61
1998,ESP,73.69,75.15,71.49,78.0,66.85,73.3
1998,EST,26.93,28.98,23.85,49.15,17.91,26.29
1998,FIN,58.71,63.72,51.19,69.57,44.77,57.11
1998,FRA,85.6,87.68,82.47,88.41,79.35,85.04
1998,GBR,87.03,88.2,85.27,88.87,82.6,86.72
1998,GRC,49.59,46.19,54.7,58.39,48.48,50.27
1998,HKG,62.9,64.34,60.73,70.01,54.96,62.51
1998,HRV,31.69,29.88,34.41,49.6,27.8,32.07
1998,HUN,49.13,50.98,46.35,61.25,39.74,48.61
1998,IDN,60.84,65.65,53.63,70.93,47.35,59.34
1998,IND,58.75,61.3,54.93,67.91,48.73,58.03
1998,IRL,60.09,63.76,54.58,69.6,48.35,58.99
1998,ISL,24.96,25.84,23.64,47.64,17.72,24.72
1998,ISR,52.94,54.73,50.25,63.59,43.79,52.44
1998,ITA,82.14,84.28,78.92,85.45,75.27,81.56
1998,JOR,25.57,24.59,27.03,47.04,20.81,25.78
1998,JPN,87.81,90.32,84.05,90.77,81.18,87.13
1998,KAZ,40.02,41.94,37.15,55.96,30.48,39.47
1998,KHM,13.14,12.36,14.31,41.63,9.7,13.3
1998,KOR,70.8,77.41,60.88,79.78,55.13,68.65
1998,LAO,9.18,9.11,9.28,40.3,5.77,9.19
1998,LTU,27.54,27.68,27.34,48.52,21.09,27.51
1998,LUX,48.8,56.4,37.41,64.66,30.73,45.93
1998,LVA,25.84,26.64,24.63,48.02,18.61,25.62
1998,MAR,38.35,39.0,37.37,54.34,30.69,38.18
1998,MEX,71.47,73.23,68.82,76.51,63.86,70.99
1998,MLT,26.38,28.73,22.86,49.03,17.02,25.63
1998,MMR,19.79,18.41,21.85,44.22,16.12,20.06
1998,MYS,60.9,67.8,50.55,72.47,44.1,58.54
1998,NGA,47.93,49.12,46.14,60.12,39.53,47.61
1998,NLD,76.31,79.76,71.14,81.68,66.46,75.33
1998,NOR,63.35,66.86,58.09,71.79,52.11,62.32
1998,NZL,45.81,47.16,43.79,58.95,37.12,45.44
1998,PAK,39.56,40.23,38.56,55.01,31.87,39.39
1998,PER,40.33,40.65,39.84,55.24,33.14,40.24
1998,PHL,53.36,53.92,52.52,63.08,46.17,53.22
1998,POL,58.83,59.91,57.2,66.97,51.15,58.54
1998,PRT,54.72,53.89,55.97,63.06,49.84,54.92
1998,ROU,38.71,39.17,38.01,54.43,31.32,38.59
1998,RUS,68.96,71.16,65.67,74.95,60.37,68.36
1998,SAU,64.33,66.86,60.53,71.79,54.75,63.62
1998,SEN,17.05,18.5,14.88,44.26,10.17,16.59
1998,SGP,61.93,68.25,52.46,72.8,46.11,59.84
1998,SVK,40.62,41.93,38.66,55.95,31.97,40.26
1998,SVN,38.58,40.4,35.86,55.1,29.21,38.06
1998,SWE,69.3,72.57,64.4,76.01,58.97,68.36
1998,THA,60.08,64.74,53.09,70.29,46.78,58.63
1998,TUN,34.53,35.05,33.76,52.23,27.17,34.4
1998,TUR,60.77,61.11,60.27,67.78,54.47,60.69
1998,TWN,72.63,76.41,66.96,78.99,61.8,71.53
1998,UKR,41.06,46.19,33.37,58.39,26.79,39.26
1998,USA,100.0,100.0,100.0,100.0,100.0,100.0
1998,VNM,42.1,43.96,39.3,57.1,32.6,41.56
1998,ZAF,57.59,61.59,51.6,68.11,45.2,56.37
1999,ARG,53.8,53.3,54.56,62.69,48.33,53.93
1999,AUS,67.41,68.61,65.6,73.06,60.3,67.09
1999,AUT,65.54,66.91,63.49,71.83,57.98,65.18
1999,BEL,71.45,75.79,64.94,78.5,59.57,70.16
1999,BGD,29.21,25.19,35.25,47.33,28.61,29.8
1999,BGR,31.36,33.29,28.46,51.32,22.14,30.78
1999,BLR,33.12,37.66,26.31,53.61,20.14,31.48
1999,BRA,62.26,64.0,59.65,69.77,53.79,61.79
1999,BRN,25.67,28.88,20.86,49.11,15.25,24.54
1999,CAN,80.72,83.71,76.24,84.97,72.21,79.89
1999,CHE,69.37,71.78,65.75,75.41,60.46,68.7
1999,CHL,50.98,54.49,45.72,63.44,39.1,49.91
1999,CHN,72.82,77.64,65.58,79.96,60.27,71.36
1999,CIV,28.03,32.06,21.98,50.69,16.23,26.55
1999,CMR,23.27,26.37,18.61,47.89,13.3,22.15
1999,COL,48.23,48.94,47.16,60.01,40.58,48.04
1999,CRI,31.75,32.41,30.75,50.87,24.29,31.57
1999,CYP,29.16,30.73,26.81,50.02,20.6,28.7
1999,CZE,50.76,53.6,46.49,62.88,39.89,49.92
1999,DEU,90.17,91.87,87.61,92.19,85.32,89.71
1999,DNK,60.01,63.31,55.07,69.29,48.88,59.05
1999,EGY,47.11,45.85,49.0,58.19,42.48,47.4
1999,ESP,73.23,74.52,71.3,77.51,66.64,72.89
1999,EST,25.52,27.62,22.37,48.49,16.58,24.86
1999,FIN,57.41,62.88,49.2,68.99,42.69,55.62
1999,FRA,84.34,86.46,81.15,87.34,77.83,83.76
1999,GBR,86.28,87.59,84.31,88.33,81.48,85.93
1999,GRC,51.19,48.38,55.41,59.68,49.24,51.78
1999,HKG,61.6,64.03,57.96,69.79,51.97,60.92
1999,HRV,30.55,29.4,32.27,49.36,25.74,30.8
1999,HUN,48.5,50.48,45.53,60.94,38.9,47.94
1999,IDN,59.97,64.97,52.46,70.45,46.11,58.38
1999,IND,58.66,61.52,54.36,68.06,48.12,57.83
1999,IRL,59.38,63.89,52.62,69.69,46.28,57.98
1999,ISL,24.0,24.72,22.92,47.1,17.07,23.8
1999,ISR,53.34,54.97,50.89,63.74,44.46,52.89
1999,ITA,80.63,82.66,77.59,84.08,73.75,80.08
1999,JOR,24.47,23.32,26.19,46.45,20.03,24.71
1999,JPN,87.66,90.24,83.8,90.7,80.89,86.96
1999,KAZ,38.26,41.69,33.12,55.82,26.55,37.16
1999,KHM,15.35,14.25,17.01,42.42,11.94,15.57
1999,KOR,71.55,77.05,63.3,79.49,57.77,69.84
1999,LAO,9.15,9.16,9.14,40.32,5.66,9.15
1999,LTU,24.48,24.12,25.01,46.82,18.96,24.56
